trial_number,familiar_stimulus,novel_stimulus,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,TripodSimple,DiamondSimple,simple,10,left,right,5,5,20
2,SimsDiamondComplex,CylinderComplex,complex,15,right,left,5,5,30
3,PyramidSimple,BowtieSimple,simple,5,right,left,5,5,10
4,PacmanComplex,ArrowComplex,complex,5,left,right,5,5,10
5,CrinkleSimple,PumpkinSimple,simple,15,left,right,5,5,30
6,BowlComplex,GumdropComplex,complex,10,right,left,5,5,20
7,fractal_complex_pair1_a,fractal_complex_pair1_b,complex,5,left,right,5,5,10
8,fractal_simple_pair2_b,fractal_simple_pair2_a,simple,15,right,left,5,5,30
9,fractal_simple_pair3_b,fractal_simple_pair3_a,simple,10,left,right,5,5,20
10,fractal_complex_pair4_a,fractal_complex_pair4_b,complex,15,left,right,5,5,30
11,fractal_complex_pair5_b,fractal_complex_pair5_a,complex,10,right,left,5,5,20
12,fractal_simple_pair6_a,fractal_simple_pair6_b,simple,5,right,left,5,5,10
