trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_stimulus_path,novel_stimulus_path,familiar_location_1,familiar_location_2,left_image_path_1,right_image_path_1,left_image_path_2,right_image_path_2,test_time_1,test_time_2,familiarization_time_timeout
1,fractal_complex_pair1_a_bright,fractal_complex_pair1_b_bright,pair1_a,pair1_b,complex,15,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_b_bright.png,right,left,stimuli/images/fractal_complex_pair1_b_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_a_bright.png,stimuli/images/fractal_complex_pair1_b_bright.png,5,5,30
2,fractal_simple_pair2_a_bright,fractal_simple_pair2_b_bright,pair2_a,pair2_b,simple,10,stimuli/images/fractal_simple_pair2_a_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,left,right,stimuli/images/fractal_simple_pair2_a_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_b_bright.png,stimuli/images/fractal_simple_pair2_a_bright.png,5,5,20
3,fractal_simple_pair3_a_bright,fractal_simple_pair3_b_bright,pair3_a,pair3_b,simple,5,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_b_bright.png,right,left,stimuli/images/fractal_simple_pair3_b_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_a_bright.png,stimuli/images/fractal_simple_pair3_b_bright.png,5,5,10
4,fractal_complex_pair4_a_bright,fractal_complex_pair4_b_bright,pair4_a,pair4_b,complex,10,stimuli/images/fractal_complex_pair4_a_bright.png,stimuli/images/fractal_complex_pair4_b_bright.png,right,left,stimuli/images/fractal_complex_pair4_b_bright.png,stimuli/images/fractal_complex_pair4_a_bright.png,stimuli/images/fractal_complex_pair4_a_bright.png,stimuli/images/fractal_complex_pair4_b_bright.png,5,5,20
5,fractal_complex_pair5_a_bright,fractal_complex_pair5_b_bright,pair5_a,pair5_b,complex,5,stimuli/images/fractal_complex_pair5_a_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,left,right,stimuli/images/fractal_complex_pair5_a_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_b_bright.png,stimuli/images/fractal_complex_pair5_a_bright.png,5,5,10
6,fractal_simple_pair6_a_bright,fractal_simple_pair6_b_bright,pair6_a,pair6_b,simple,15,stimuli/images/fractal_simple_pair6_a_bright.png,stimuli/images/fractal_simple_pair6_b_bright.png,left,right,stimuli/images/fractal_simple_pair6_a_bright.png,stimuli/images/fractal_simple_pair6_b_bright.png,stimuli/images/fractal_simple_pair6_b_bright.png,stimuli/images/fractal_simple_pair6_a_bright.png,5,5,30
7,Tripod_Complex,Diamond_Complex,Tripod,Diamond,complex,5,stimuli/images/Tripod_Complex.png,stimuli/images/Diamond_Complex.png,right,left,stimuli/images/Diamond_Complex.png,stimuli/images/Tripod_Complex.png,stimuli/images/Tripod_Complex.png,stimuli/images/Diamond_Complex.png,5,5,10
8,SimsDiamond_Simple,Cylinder_Simple,SimsDiamond,Cylinder,simple,10,stimuli/images/SimsDiamond_Simple.png,stimuli/images/Cylinder_Simple.png,left,right,stimuli/images/SimsDiamond_Simple.png,stimuli/images/Cylinder_Simple.png,stimuli/images/Cylinder_Simple.png,stimuli/images/SimsDiamond_Simple.png,5,5,20
9,Pyramid_Simple,Bowtie_Simple,Pyramid,Bowtie,simple,15,stimuli/images/Pyramid_Simple.png,stimuli/images/Bowtie_Simple.png,left,right,stimuli/images/Pyramid_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Bowtie_Simple.png,stimuli/images/Pyramid_Simple.png,5,5,30
10,Pacman_Complex,Arrow_Complex,Pacman,Arrow,complex,15,stimuli/images/Pacman_Complex.png,stimuli/images/Arrow_Complex.png,right,left,stimuli/images/Arrow_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Pacman_Complex.png,stimuli/images/Arrow_Complex.png,5,5,30
11,Crinkle_Simple,Pumpkin_Simple,Crinkle,Pumpkin,simple,10,stimuli/images/Crinkle_Simple.png,stimuli/images/Pumpkin_Simple.png,right,left,stimuli/images/Pumpkin_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Crinkle_Simple.png,stimuli/images/Pumpkin_Simple.png,5,5,20
12,Bowl_Complex,Gumdrop_Complex,Bowl,Gumdrop,complex,5,stimuli/images/Bowl_Complex.png,stimuli/images/Gumdrop_Complex.png,left,right,stimuli/images/Bowl_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Gumdrop_Complex.png,stimuli/images/Bowl_Complex.png,5,5,10
