trial_number,familiar_stimulus,novel_stimulus,familiar_stimulus_item,novel_stimulus_item,complexity_condition,familiarization_time,familiar_location_1,familiar_location_2,test_time_1,test_time_2,familiarization_time_timeout
1,Gumdrop_Complex,Bowl_Complex,Gumdrop,Bowl,complex,10,right,left,5,5,20
2,Pumpkin_Simple,Crinkle_Simple,Pumpkin,Crinkle,simple,15,left,right,5,5,30
3,Arrow_Complex,Pacman_Complex,Arrow,Pacman,complex,5,left,right,5,5,10
4,Bowtie_Simple,Pyramid_Simple,Bowtie,Pyramid,simple,5,right,left,5,5,10
5,Cylinder_Simple,SimsDiamond_Simple,Cylinder,SimsDiamond,simple,15,right,left,5,5,30
6,Diamond_Complex,Tripod_Complex,Diamond,Tripod,complex,10,left,right,5,5,20
7,fractal_simple_pair6_b_bright,fractal_simple_pair6_a_bright,pair6_b,pair6_a,simple,5,right,left,5,5,10
8,fractal_complex_pair5_b_bright,fractal_complex_pair5_a_bright,pair5_b,pair5_a,complex,10,right,left,5,5,20
9,fractal_complex_pair4_b_bright,fractal_complex_pair4_a_bright,pair4_b,pair4_a,complex,15,left,right,5,5,30
10,fractal_simple_pair3_b_bright,fractal_simple_pair3_a_bright,pair3_b,pair3_a,simple,10,left,right,5,5,20
11,fractal_simple_pair2_b_bright,fractal_simple_pair2_a_bright,pair2_b,pair2_a,simple,15,right,left,5,5,30
12,fractal_complex_pair1_b_bright,fractal_complex_pair1_a_bright,pair1_b,pair1_a,complex,5,left,right,5,5,10
