"order_id","lab_number","base_lab_id","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_shuffle_group","time_order_index","location_seed","file_name"
321,21,11,"set_1","normal","base_rev","base",2,"fribble_first",0,1,1,1103211,"order_321.csv"
322,21,11,"set_1","normal","base_rev","base",2,"fractal_first",0,1,1,1103221,"order_322.csv"
323,21,11,"set_1","normal","base_rev","base",2,"fribble_first",1,1,1,1103231,"order_323.csv"
324,21,11,"set_1","normal","base_rev","base",2,"fractal_first",1,1,1,1103241,"order_324.csv"
325,21,11,"set_1","normal","base_rev","base",2,"fribble_first",0,2,1,1103252,"order_325.csv"
326,21,11,"set_1","normal","base_rev","base",2,"fractal_first",0,2,1,1103262,"order_326.csv"
327,21,11,"set_1","normal","base_rev","base",2,"fribble_first",1,2,1,1103272,"order_327.csv"
328,21,11,"set_1","normal","base_rev","base",2,"fractal_first",1,2,1,1103282,"order_328.csv"
329,21,11,"set_1","normal","base_rev","base",2,"fribble_first",0,1,2,1103291,"order_329.csv"
330,21,11,"set_1","normal","base_rev","base",2,"fractal_first",0,1,2,1103301,"order_330.csv"
331,21,11,"set_1","normal","base_rev","base",2,"fribble_first",1,1,2,1103311,"order_331.csv"
332,21,11,"set_1","normal","base_rev","base",2,"fractal_first",1,1,2,1103321,"order_332.csv"
333,21,11,"set_1","normal","base_rev","base",2,"fribble_first",0,2,2,1103332,"order_333.csv"
334,21,11,"set_1","normal","base_rev","base",2,"fractal_first",0,2,2,1103342,"order_334.csv"
335,21,11,"set_1","normal","base_rev","base",2,"fribble_first",1,2,2,1103352,"order_335.csv"
336,21,11,"set_1","normal","base_rev","base",2,"fractal_first",1,2,2,1103362,"order_336.csv"
