"lab_number","base_lab_id","order_id","trial_number","fribble_set","complexity_polarity","reverse_order_block","reverse_order_list","time_pair_group","time_order_index","stimulus_type_order","familiar_role","location_shuffle_group","location_seed","row_type","familiar_stimulus","novel_stimulus","familiar_stimulus_item","novel_stimulus_item","complexity_condition","familiarization_time","familiar_stimulus_path","novel_stimulus_path","familiar_location_1","familiar_location_2","left_image_path_1","right_image_path_1","left_image_path_2","right_image_path_2","test_time_1","test_time_2","familiarization_time_timeout"
48,24,754,1,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","Pacman_Simple","Cylinder_Simple","Pacman","Cylinder","simple",10,"stimuli/images//Pacman_Simple.png","stimuli/images//Cylinder_Simple.png","left","right","stimuli/images//Pacman_Simple.png","stimuli/images//Cylinder_Simple.png","stimuli/images//Cylinder_Simple.png","stimuli/images//Pacman_Simple.png",5,5,20
48,24,754,2,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","Bowtie_Simple","Arrow_Simple","Bowtie","Arrow","simple",15,"stimuli/images//Bowtie_Simple.png","stimuli/images//Arrow_Simple.png","right","left","stimuli/images//Arrow_Simple.png","stimuli/images//Bowtie_Simple.png","stimuli/images//Bowtie_Simple.png","stimuli/images//Arrow_Simple.png",5,5,30
48,24,754,3,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","Tripod_Complex","Bowl_Complex","Tripod","Bowl","complex",5,"stimuli/images//Tripod_Complex.png","stimuli/images//Bowl_Complex.png","left","right","stimuli/images//Tripod_Complex.png","stimuli/images//Bowl_Complex.png","stimuli/images//Bowl_Complex.png","stimuli/images//Tripod_Complex.png",5,5,10
48,24,754,4,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","Crinkle_Complex","Diamond_Complex","Crinkle","Diamond","complex",15,"stimuli/images//Crinkle_Complex.png","stimuli/images//Diamond_Complex.png","right","left","stimuli/images//Diamond_Complex.png","stimuli/images//Crinkle_Complex.png","stimuli/images//Crinkle_Complex.png","stimuli/images//Diamond_Complex.png",5,5,30
48,24,754,5,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","Pyramid_Simple","Gumdrop_Simple","Pyramid","Gumdrop","simple",5,"stimuli/images//Pyramid_Simple.png","stimuli/images//Gumdrop_Simple.png","right","left","stimuli/images//Gumdrop_Simple.png","stimuli/images//Pyramid_Simple.png","stimuli/images//Pyramid_Simple.png","stimuli/images//Gumdrop_Simple.png",5,5,10
48,24,754,6,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fribble","SimsDiamond_Complex","Pumpkin_Complex","SimsDiamond","Pumpkin","complex",10,"stimuli/images//SimsDiamond_Complex.png","stimuli/images//Pumpkin_Complex.png","left","right","stimuli/images//SimsDiamond_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//SimsDiamond_Complex.png",5,5,20
48,24,754,7,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fractal","fractal_complex_pair1_a_bright","fractal_complex_pair1_b_bright","pair1_a","pair1_b","complex",5,"stimuli/images//fractal_complex_pair1_a_bright.png","stimuli/images//fractal_complex_pair1_b_bright.png","right","left","stimuli/images//fractal_complex_pair1_b_bright.png","stimuli/images//fractal_complex_pair1_a_bright.png","stimuli/images//fractal_complex_pair1_a_bright.png","stimuli/images//fractal_complex_pair1_b_bright.png",5,5,10
48,24,754,8,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fractal","fractal_simple_pair2_a_bright","fractal_simple_pair2_b_bright","pair2_a","pair2_b","simple",15,"stimuli/images//fractal_simple_pair2_a_bright.png","stimuli/images//fractal_simple_pair2_b_bright.png","left","right","stimuli/images//fractal_simple_pair2_a_bright.png","stimuli/images//fractal_simple_pair2_b_bright.png","stimuli/images//fractal_simple_pair2_b_bright.png","stimuli/images//fractal_simple_pair2_a_bright.png",5,5,30
48,24,754,9,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fractal","fractal_complex_pair3_a_bright","fractal_complex_pair3_b_bright","pair3_a","pair3_b","complex",10,"stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","left","right","stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png",5,5,20
48,24,754,10,"set_2","inverse","base_rev","rev",3,1,"fractal_first",0,1,2407541,"fractal","fractal_simple_pair4_a_bright","fractal_simple_pair4_b_bright","pair4_a","pair4_b","simple",10,"stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","right","left","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png",5,5,20
